,Year,Age,Gender,City,Position,Years of experience,Current level,Current Salary,Main language at work,Company size,Company type
30,2018,39.0,M,Berlin,Senior DevOps,10.0,Middle,75800.0,Deutsch,1000+,Corporation
31,2018,35.0,F,München,Software Engineer,12.0,Senior,84000.0,English,100-1000,Startup
32,2018,32.0,M,München,C# Developer,10.0,Senior,60000.0,English,50-100,Product
33,2018,27.0,M,Augsburg ,ERP/BI Specialist,4.0,Middle,57000.0,Deutsch,100-1000,Product
34,2018,32.11503067484663,M,München,Full stack developer,2.0,Junior,58000.0,English,100-1000,Product
35,2018,31.0,M,München,Systems Administrator,1.0,Junior,36000.0,English,50-100,Startup
36,2018,31.0,M,München,Senior Software Developer,10.0,Senior,70000.0,English,100-1000,Product
37,2018,32.0,M,München,C++ developer,10.0,Senior,72000.0,English,100-1000,Product
38,2018,35.0,M,München,Project Manager,5.0,Middle,75000.0,English,100-1000,Product
39,2018,33.0,M,München,PM,9.0,Middle,90000.0,Deutsch,1000+,Product
40,2018,32.0,M,München,Android Developer,7.0,Senior,69000.0,English,100-1000,Product
41,2018,41.0,M,München,Software Architect,20.0,Senior,113000.0,Deutsch,100-1000,Startup
42,2018,32.11503067484663,M,München,Senior Frontend Developer,10.0,Senior,65000.0,English,100-1000,Product
43,2018,30.0,M,München,Embedded Software Engineer,7.0,Middle,75000.0,English,50-100,Product
44,2018,24.0,F,München,iOS developer,3.0,Middle,57000.0,Russian,100-1000,Product
45,2018,43.0,M,Berlin,Data Engineer,10.0,Senior,84000.0,English,50-100,Product
46,2018,28.0,M,München,iOS Developer,6.0,Senior,70000.0,English,1000+,Product
47,2018,29.0,M,Bremen,Software Engineer,1.0,Junior,55000.0,Deutsch,10-50,Product
48,2018,32.0,M,München,PHP Developer,6.0,Senior,60000.0,English,100-1000,Product
49,2018,31.0,M,Frankfurt,Ruby developer,11.0,Senior,65000.0,English,100-1000,Product
50,2018,33.0,M,Berlin,Frontend Developer,10.0,Senior,70000.0,English,10-50,Startup
51,2018,29.0,M,,Embedded engineer,7.0,Middle,50000.0,English,up to 10,Product
52,2018,28.0,M,München,Java Fullstack Developer,7.5,Middle,65000.0,Deutsch,50-100,Agency
53,2018,32.0,M,München,Senior Software Developer,10.0,Senior,78000.0,English,10-50,Startup
54,2018,26.0,F,Regensburg,Mobile App Developer,1.0,Junior,60000.0,Deutsch,1000+,Product
55,2018,34.0,M,Hamburg,Scala Developer,10.0,Senior,71000.0,English,50-100,Startup
56,2018,29.0,M,München,DevOps,9.0,Senior,75000.0,Deutsch,100-1000,Product
57,2018,27.0,F,Frankfurt,Consultant,1.0,Junior,49000.0,English,1000+,Consultancy
58,2018,28.0,M,Hamburg,Ruby developer,4.0,Senior,65000.0,English,100-1000,Product
59,2018,34.0,M,München,BA/PM,10.0,Senior,68000.0,English,10-50,Product
60,2018,35.0,M,München,DevOps Engineer,10.0,Senior,56000.0,English,50-100,Product
61,2018,32.0,F,Berlin,QA,3.0,Junior,30000.0,English,50-100,Product
62,2018,32.0,M,München,C++ Software Enginеer,11.0,Senior,72000.0,English,up to 10,Product
63,2018,32.11503067484663,F,Frankfurt,Software Developer,4.0,Middle,65000.0,English,100-1000,Product
64,2018,29.0,M,Frankfurt,iOS developer,5.0,Middle,45000.0,English,up to 10,Agency
65,2018,36.0,F,München,Automation QA,4.0,Middle,55000.0,English,1000+,Product
66,2018,29.0,M,Lisbon,iOS developer,6.0,Middle,40000.0,English,1000+,Product
67,2018,25.0,M,Frankfurt,Frontend Developer,5.0,Middle,66000.0,English,100-1000,Agency
68,2018,32.11503067484663,M,Frankfurt,Software Engineer,7.0,Senior,66000.0,English,100-1000,Product
69,2018,32.11503067484663,F,Hamburg,Java Developer,5.0,Middle,54000.0,English,100-1000,Product
70,2018,25.0,M,München,Backend Developer,3.0,Senior,60000.0,Russian,10-50,Startup
71,2018,32.0,M,Berlin,Frontend developer,6.0,Middle,50000.0,English,10-50,Product
72,2018,29.0,M,Berlin,SDET,7.0,Senior,60000.0,English,1000+,Product
73,2018,32.11503067484663,M,Leipzig,iOS Developer,3.0,Senior,48000.0,English,100-1000,Agency
74,2018,26.0,M,München,Android Developer,4.0,Middle,66000.0,English,1000+,Agency
75,2018,33.0,M,Frankfurt,Technical Lead,10.0,Senior,95000.0,Deutsch,1000+,Product
76,2018,28.0,M,München,FrontEnd dev,8.0,Middle,61000.0,English,100-1000,Product
77,2018,31.0,M,Berlin,Technical product manager,1.0,Middle,65000.0,English,100-1000,Startup
78,2018,29.0,M,Berlin,Javascript software developer,5.0,Middle,55000.0,English,10-50,Startup
79,2018,29.0,M,München,Java Developer,8.0,Senior,72000.0,Russian,100-1000,Product
81,2018,31.0,M,Berlin,DevOps,12.0,Senior,60000.0,English,50-100,Startup
82,2018,32.11503067484663,M,München,Java Developer,5.0,Middle,60000.0,English,100-1000,Product
83,2018,27.0,M,Berlin,DevOps Engineer,10.0,Senior,87000.0,English,100-1000,Product
84,2018,30.0,M,Berlin,iOS Developer,6.0,Senior,70000.0,English,100-1000,Product
85,2018,32.11503067484663,F,München,Graphic Designer,8.0,Middle,30000.0,English,up to 10,Startup
86,2018,34.0,F,Berlin,Manager,5.0,Middle,55000.0,English,100-1000,Startup
87,2018,24.0,M,München,Frontend Developer,3.0,Middle,57000.0,English,1000+,Product
88,2018,44.0,M,München,Project Manager,14.0,Senior,73000.0,Russian,50-100,
89,2018,37.0,M,Berlin,Senior/Lead Developer,15.0,Senior,85000.0,English,up to 10,Startup
90,2018,32.11503067484663,M,Stuttgart,Senior QA,4.0,Senior,65000.0,English,1000+,Agency
91,2018,32.11503067484663,M,Stuttgart,Senior QA,4.0,Senior,65000.0,English,1000+,Agency
92,2018,33.0,M,Berlin,Technical Product Manager,8.504895104895105,Senior,58000.0,English,100-1000,Startup
93,2018,36.0,M,Berlin,Mobile Lead,14.0,Senior,82000.0,English,100-1000,Product
94,2018,34.0,M,Berlin,Software Engineer,10.0,Senior,67000.0,English,100-1000,Product
95,2018,31.0,M,Berlin,Frontend developer,12.0,Senior,65000.0,English,100-1000,Product
96,2018,25.0,M,München,Software Developer,3.0,Middle,62000.0,English,100-1000,Outsource
97,2018,28.0,M,Berlin,Frontend Engineer,6.0,Senior,62000.0,English,50-100,Startup
98,2018,38.0,M,Berlin,Front-end developer,19.0,Senior,83000.0,English,100-1000,Product
99,2018,32.0,F,Berlin,Data Engineer,10.0,Senior,75000.0,English,1000+,Product
100,2018,22.0,M,Berlin,Data scientist,2.0,Middle,50000.0,English,50-100,Startup
101,2018,37.0,M,München,Head of Product ,8.0,Senior,100000.0,English,50-100,Agency
102,2018,32.0,M,Berlin,Research Engineer,10.0,Middle,75000.0,English,1000+,Product
103,2018,40.0,M,Berlin,PHP Backend Developer,18.0,Senior,69000.0,English,50-100,Agency
104,2018,24.0,M,Berlin,Java Developer,3.0,Middle,50000.0,English,100-1000,Product
105,2018,36.0,M,Berlin,SW Developer,10.0,Middle,73000.0,English,50-100,Startup
106,2018,35.0,M,Berlin,Senior Engineer (PHP),15.0,Senior,120000.0,English,1000+,Product
107,2018,28.0,M,Frankfurt,webdev,5.0,Senior,50000.0,English,10-50,Product
108,2018,32.0,M,München,Web Developer ,3.0,Middle,58000.0,Deutsch,1000+,
109,2018,33.0,M,,Java Developer,11.0,Senior,65000.0,Deutsch,50-100,Product
110,2018,36.0,F,München,QA ,3.0,Middle,30000.0,English,10-50,Product
111,2018,32.0,M,Berlin,Machine Learning Engineer,8.504895104895105,Senior,80000.0,English,up to 10,Startup
112,2018,32.0,M,Berlin,Frontend Developer,10.0,Senior,70000.0,English,50-100,Startup
113,2018,32.0,M,München,Data Scientist,4.0,Senior,65000.0,English,50-100,Product
114,2018,31.0,M,Berlin,Software Architect,12.0,Senior,78600.0,English,100-1000,Product
115,2018,34.0,M,Berlin,Principal Software Engineer,13.0,Senior,70000.0,English,10-50,Product
116,2018,32.11503067484663,M,Amsterdam,FrontEnd Developer,5.0,Senior,60000.0,English,1000+,Product
117,2018,32.0,M,Berlin,Senior Javascript Engineer,6.0,Senior,78000.0,English,100-1000,Startup
118,2018,34.0,M,Berlin,Engineering Manager,17.0,Senior,70000.0,English,50-100,Startup
119,2018,32.0,M,Luxembourg,SDE,8.0,Middle,89000.0,English,1000+,Product
120,2018,27.0,F,München,Python dev,0.5,Junior,60000.0,English,50-100,Product
121,2018,31.0,F,München,QA Engineer ,5.0,Middle,60000.0,English,50-100,Product
122,2018,32.0,M,Berlin,Android developer ,9.0,Senior,72000.0,English,1000+,Product
123,2018,32.11503067484663,M,München,Web Designer,3.0,Middle,43000.0,Deutsch,50-100,Product
124,2018,27.0,M,Berlin,Senior Software Engineer ,7.0,Senior,72000.0,English,1000+,Product
125,2018,30.0,M,Berlin,Senior Backend Developer,7.0,Senior,65000.0,English,1000+,Startup
126,2018,34.0,M,Berlin,Agile coach,5.0,Senior,85000.0,English,1000+,Agency
127,2018,30.0,M,Berlin,QA,8.0,Senior,55000.0,English,50-100,Product
128,2018,24.0,M,Berlin,MTS,4.0,Middle,65000.0,English,100-1000,Startup
129,2018,28.0,F,Berlin,Frontend Developer,4.0,Middle,56000.0,English,1000+,Product
130,2018,39.0,M,Bern, .Net Developer,10.0,Senior,107000.0,Deutsch,100-1000,Product
131,2018,29.0,M,Berlin,Python developer,3.0,Middle,60000.0,English,100-1000,Product
132,2018,34.0,M,München,Android Developer,7.0,Senior,70000.0,English,100-1000,Startup
133,2018,30.0,M,Berlin,Embedded Developer,6.0,Middle,60000.0,English,100-1000,Product
134,2018,35.0,M,Berlin,.NET developer,15.0,Senior,62000.0,English,100-1000,Product
135,2018,37.0,M,Berlin,Seniour software developer,14.0,Senior,78000.0,English,10-50,Startup
136,2018,25.0,M,Frankfurt,Junior IT Manager,8.504895104895105,Junior,60000.0,English,1000+,Industry
137,2018,37.0,M,Berlin,Full stack developer ,15.0,Senior,54000.0,English,10-50,Product
138,2018,27.0,F,Berlin,IT Project Manager,4.0,Middle,46000.0,Deutsch,100-1000,E-Commerce firm
139,2018,30.0,M,Bonn,Business Analyst,7.0,Middle,64000.0,English,1000+,Product
140,2018,33.0,M,Berlin,fullstack developer,10.0,Senior,65000.0,English,10-50,Product
141,2018,32.0,M,Berlin,Frontent Developer,5.0,Middle,58000.0,English,10-50,Startup
142,2018,32.11503067484663,M,München,Senior Java Developer,13.0,Senior,75000.0,English,1000+,Product
143,2018,30.0,M,Frankfurt,Software Developer,8.0,Senior,95000.0,English,100-1000,Product
144,2018,27.0,F,Berlin,Android Developer,5.0,Middle,60000.0,English,100-1000,Product
145,2018,28.0,M,München,Software Developer,6.0,Middle,53000.0,English,100-1000,Product
146,2018,30.0,M,Berlin,Software Engineer,3.0,Middle,69000.0,English,1000+,Product
147,2018,39.0,M,Berlin,Scala developer,20.0,Senior,84000.0,English,1000+,Product
148,2018,26.0,M,Berlin,UX/UI designer,5.0,Senior,52000.0,English,10-50,Startup
149,2018,32.11503067484663,M,München,Senior Java,12.0,Senior,85000.0,English,10-50,Product
150,2018,30.0,M,Berlin,SRE,7.0,Senior,75000.0,English,50-100,
151,2018,32.11503067484663,M,München,developer,6.0,Senior,63000.0,English,100-1000,Product
152,2018,39.0,M,Berlin,DBA,17.0,Senior,87000.0,English,1000+,Product
153,2018,35.0,F,Berlin,Software Engineer,14.0,Senior,65000.0,English,10-50,Startup
154,2018,30.0,F,Berlin,Computational Linguist,3.0,Middle,50400.0,English,10-50,Startup
155,2018,26.0,M,Berlin,Software Engineer,6.0,Senior,65000.0,English,100-1000,Product
156,2018,32.11503067484663,M,Hamburg,SAP Basis Administrator,19.0,Senior,85000.0,Deutsch,1000+,Product
157,2018,27.0,M,Berlin,Data Scientist,2.5,Senior,66000.0,English,100-1000,Startup
158,2018,43.0,F,München,Programmierer/Consultant,0.5,Junior,32000.0,Deutsch,10-50,Product
159,2018,42.0,M,München,Java Developer,15.0,Middle,42000.0,Deutsch,10-50,Product
160,2018,31.0,M,Berlin,Full stack engineer,11.0,Senior,65000.0,English,100-1000,Product
161,2018,34.0,M,Berlin,Software engineer,8.0,Middle,74000.0,English,1000+,Startup
162,2018,32.11503067484663,M,Berlin,Java Developer,10.0,Senior,75000.0,English,100-1000,Startup
163,2018,30.0,M,München,Software Engineer,8.0,Senior,72500.0,English,100-1000,Product
164,2018,37.0,M,Berlin,Database Administrator,7.0,Senior,53000.0,Deutsch,100-1000,Product
165,2018,32.11503067484663,M,Frankfurt,Senior Software Engineer,13.0,Senior,102000.0,English,100-1000,Product
166,2018,27.0,M,Hamburg,Frontend Developer,11.0,Senior,60000.0,English,100-1000,Product
167,2018,30.0,M,Berlin,Software Engineer JavaSctipt,10.0,Senior,75000.0,English,1000+,Product
168,2018,33.0,M,Berlin,PM,15.0,Senior,85000.0,English,1000+,
169,2018,38.0,M,Köln,Java Developer,12.0,Senior,60000.0,Deutsch,10-50,Consulting
170,2018,35.0,M,Berlin,Developer,9.0,Senior,60000.0,English,up to 10,Startup
171,2018,36.0,M,Berlin,Head of Engineering,15.0,Senior,85000.0,Deutsch,10-50,Product
172,2018,25.0,M,Berlin,Android Developer,5.0,Middle,50000.0,English,10-50,Startup
174,2018,35.0,M,Köln,Angular,5.0,Middle,35000.0,English,1000+,Product
175,2018,29.0,M,München,Senior Android Developer,8.0,Senior,75000.0,English,50-100,Agency
176,2018,30.0,F,Berlin,Full Stack Developer,4.0,Middle,58000.0,English,10-50,Product
177,2018,33.0,M,Berlin,Software Developer,12.0,Senior,75000.0,English,1000+,Internal development for a non-IT company
178,2018,30.0,M,Baden-Württemberg ,Mobile developer,8.0,Senior,70000.0,English,10-50,Startup
179,2018,30.0,M,Berlin,PHP Developer,11.0,Senior,65000.0,English,50-100,Startup
180,2018,31.0,F,Berlin,Software Engineer,8.0,Senior,55800.0,Deutsch,1000+,Product
181,2018,26.0,M,Berlin,Automation QA,4.0,Middle,55000.0,English,1000+,Product
182,2018,27.0,M,Berlin,Frontend Developer,5.0,Middle,55000.0,English,1000+,Product
183,2018,34.0,M,Berlin,Android Developer,7.0,Senior,70000.0,Deutsch,100-1000,Product
184,2018,35.0,M,Berlin,PHP Developer,12.0,Senior,63000.0,English,100-1000,Product
185,2018,29.0,M,Berlin,Data scientist,8.0,Senior,115000.0,English,1000+,Product
186,2018,28.0,M,München,Software Engineer (Android),2.0,Middle,52000.0,Deutsch,100-1000,Agency
187,2018,39.0,M,Frankfurt,SAP Consultant,13.0,Senior,176000.0,English,1000+,Product
188,2018,35.0,M,München,C++ developer,14.0,Senior,70000.0,English,up to 10,Startup
189,2018,31.0,F,Frankonia,QA Engineer,7.0,Senior,44000.0,English,100-1000,Product
190,2018,26.0,M,Berlin,Computer Vision Engineer,2.5,Middle,50000.0,English,up to 10,Startup
191,2018,26.0,M,München,Java Developer,4.0,Middle,58000.0,English,100-1000,Agency
192,2018,32.11503067484663,M,Berlin,DevOps,9.0,Middle,60000.0,English,10-50,Startup
193,2018,42.0,M,Stuttgart ,Digital Project Manager,3.0,Senior,60000.0,Deutsch,1000+,Personaldienstleister
194,2018,27.0,M,Berlin,Backend developer,3.0,Senior,64000.0,English,100-1000,Startup
195,2018,38.0,M,Berlin,PM,5.0,Senior,80000.0,English,10-50,Product
196,2018,24.0,M,München,Machine Learning Engineet,2.0,Middle,58000.0,English,10-50,Startup
197,2018,32.0,M,Berlin,Machine Learning Engineer,8.0,Senior,95000.0,English,50-100,Product
198,2018,28.0,F,Berlin,Frontend developer,6.0,Middle,50000.0,English,100-1000,Startup
199,2018,31.0,M,München,Lead Software Engineer,13.0,Senior,90000.0,English,100-1000,Product
200,2018,31.0,M,Stuttgart,Head of Development,12.0,Senior,75000.0,English,100-1000,Product
201,2018,31.0,M,Mannheim ,.net,4.0,Senior,46000.0,Deutsch,50-100,Startup
202,2018,30.0,M,Köln,Data scientist,5.0,Middle,80000.0,English,1000+,Product
203,2018,36.0,M,München,Data Scientist,5.0,Senior,92000.0,English,50-100,Agency
204,2018,24.0,M,München,IT Consultant,4.0,Middle,60000.0,English,100-1000,Agency
205,2018,33.0,M,Karlsruhe,Embedded SW Developer,13.0,Senior,90000.0,Deutsch,up to 10,
206,2018,34.0,F,München,C++ Developer ,6.0,Middle,63000.0,Deutsch,10-50,Product
207,2018,29.0,M,München,System Engineer,8.0,Senior,75000.0,English,50-100,Product
208,2018,32.11503067484663,F,Berlin,Marketing Manager,8.504895104895105,Senior,55000.0,English,100-1000,Startup
209,2018,22.0,M,München,Software developer,1.5,Junior,70000.0,English,1000+,Product
210,2018,42.0,M,Stuttgart,Erlang Developer,20.0,Senior,74000.0,English,50-100,Startup
211,2018,29.0,M,Berlin,backend developer,5.0,Middle,65000.0,English,50-100,Product
212,2018,29.0,M,Stuttgart,Computer Vision Engineer,6.0,Senior,125000.0,English,1000+,Product
213,2018,35.0,M,Berlin,Senior Software Engineer,10.0,Senior,68000.0,English,100-1000,Product
214,2018,36.0,M,Berlin,Engineer,13.0,Senior,80000.0,English,100-1000,Startup
215,2018,29.0,M,München,IT admin,7.0,Senior,40000.0,Deutsch,50-100,Product
216,2018,28.0,M,Stuttgart ,C++ Developer ,5.0,Middle,60000.0,English,100-1000,Agency
217,2018,32.0,M,Berlin,Senior Ruby Developer,13.0,Senior,65000.0,English,10-50,Startup
218,2018,38.0,M,Berlin,Senior Backend Engineer,15.0,Senior,92000.0,English,1000+,Product
219,2018,31.0,M,Berlin,Senior software engineer,8.0,Senior,75000.0,English,100-1000,Startup
220,2018,32.11503067484663,F,Berlin,QA,5.0,Senior,70000.0,English,1000+,ipo
221,2018,38.0,F,München,Java Developer,16.0,Middle,58000.0,Deutsch,100-1000,Product
222,2018,30.0,M,Berlin,Senior Data Scientist,6.0,Senior,76000.0,English,1000+,e-commerce
223,2018,32.11503067484663,M,Berlin,Senior Software Engineer,9.0,Senior,75000.0,English,100-1000,Product
224,2018,27.0,M,München,Fullstack JS,6.0,Senior,65000.0,English,10-50,Startup
225,2018,27.0,M,München,Senior Software Engineer,6.0,Senior,75000.0,English,1000+,Product
226,2018,36.0,M,Berlin,Java developer,12.0,Senior,80000.0,English,1000+,Product
227,2018,32.0,M,München,DevOps Engineer,9.0,Senior,80000.0,English,1000+,Outsource
229,2018,32.11503067484663,M,München,PHP Dev,11.0,Senior,80000.0,Deutsch,1000+,Product
230,2018,32.0,M,Berlin,Big Data Engineer,5.0,Senior,87000.0,English,10-50,Startup
231,2018,32.11503067484663,M,München,Senior Software Engineer,9.0,Senior,80000.0,English,50-100,Product
232,2018,26.0,M,München,Java Developer,3.0,Middle,58000.0,Russian,50-100,Product
233,2018,39.0,M,München,Software Engineer,15.0,Senior,68000.0,English,100-1000,Startup
234,2018,25.0,M,Berlin,C++ Developer,3.0,Middle,48500.0,English,10-50,Product
236,2018,31.0,M,Berlin,Java Developer ,0.0,Junior,49000.0,English,1000+,Product
237,2018,52.0,M,,Sysadmin,7.0,Middle,34000.0,Deutsch,up to 10,
238,2018,26.0,M,München,Low level software developer,5.0,Middle,68000.0,English,100-1000,Product
239,2018,28.0,M,Berlin,Full-stack Developer,7.0,Senior,75000.0,English,50-100,Startup
240,2018,31.0,M,Berlin,Lead Software Engineer,10.0,Senior,95000.0,English,1000+,Startup
241,2018,26.0,M,München,Software Engineer,7.0,Middle,70500.0,English,1000+,Product
242,2018,32.0,M,Berlin,Site Reliability engineer ,12.0,Senior,65000.0,English,100-1000,Product
243,2018,50.0,F,Bayern,Project manager,20.0,Senior,96000.0,Deutsch,100-1000,Product
244,2018,22.0,M,Berlin,Software Engineer ,5.0,Middle,65000.0,English,1000+,Product
245,2018,34.0,M,München,Architect,11.0,Senior,83000.0,Russian,100-1000,Product
246,2018,32.11503067484663,F,München,Sales ops team lead ,4.0,Middle,78000.0,English,100-1000,Product
247,2018,33.0,F,Berlin,Manual QA,4.0,Middle,45000.0,English,up to 10,Startup
248,2018,32.11503067484663,M,Berlin,Software developer,8.0,Middle,65000.0,English,100-1000,Product
250,2018,38.0,M,Berlin,Head of BI,5.0,Senior,85000.0,English,1000+,Product
251,2018,32.11503067484663,M,Stuttgart,iOS Developer,3.0,Middle,65000.0,English,50-100,Product
252,2018,37.0,M,Tübingen,Software Engineer,15.0,Senior,65000.0,English,50-100,Product
253,2018,34.0,M,Berlin,Java Developer,10.0,Senior,86000.0,English,100-1000,Product
254,2018,28.0,M,Berlin,DevOps,3.0,Middle,68000.0,English,10-50,Product
255,2018,31.0,M,Berlin,Senior PHP Developer,11.0,Senior,61000.0,English,100-1000,Product
256,2018,25.0,M,Berlin,Fullstack,5.0,Senior,60000.0,English,10-50,Product
257,2018,25.0,M,Berlin,Java developer,4.0,Middle,48000.0,English,10-50,Agency
258,2018,29.0,M,Berlin,Team Lead,10.0,Senior,75000.0,English,100-1000,Startup
259,2018,28.0,M,München,Product Manager,5.0,Middle,65000.0,Russian,1000+,Product
260,2018,49.0,M,Frankfurt,PD,20.0,Senior,120000.0,English,1000+,
261,2018,38.0,M,Stuttgart,IT Berater,18.0,Senior,84000.0,Russian,up to 10,Agency
262,2018,26.0,M,München,Java & JS Developer,4.0,Middle,54000.0,English,50-100,Product
263,2018,25.0,F,Berlin,Java developer ,1.0,Junior,40000.0,Deutsch,10-50,Product
264,2018,43.0,M,München,Frontend developer ,10.0,Senior,61000.0,English,100-1000,Product
265,2018,35.0,M,München,DevOps engineer ,15.0,Senior,85000.0,Deutsch,100-1000,Product
267,2018,27.0,M,München,iOS Developer,6.0,Senior,68000.0,English,100-1000,Startup
268,2018,33.0,M,München,Senior Java Developer,12.0,Senior,75000.0,English,10-50,Startup
269,2018,32.11503067484663,M,Berlin,Senior Software engineer C++,10.0,Senior,96000.0,English,up to 10,Product
270,2018,40.0,M,Köln,network engineer ,15.0,Senior,70000.0,English,100-1000,Product
271,2018,32.0,M,Berlin,C# Developer ,5.0,Senior,55000.0,English,10-50,Product
272,2018,32.11503067484663,M,Berlin,Senior Sys Admin,10.0,Senior,50000.0,English,50-100,Product
273,2018,32.11503067484663,F,Berlin,C++ Developer ,10.0,Senior,57000.0,English,100-1000,Product
274,2018,32.0,M,Berlin,Senior PHP developer,8.0,Senior,60000.0,English,1000+,Product
275,2018,31.0,F,Berlin,QA,10.0,Senior,44000.0,English,100-1000,Startup
276,2018,36.0,M,München,Product Manager,10.0,Senior,95000.0,Deutsch,1000+,Product
277,2018,32.11503067484663,F,Frankfurt,QA Consultant ,5.0,Middle,55000.0,Deutsch,10-50,Startup
278,2018,32.11503067484663,M,München,Senior PHP Developer,18.0,Senior,67000.0,English,100-1000,Product
279,2018,31.0,F,Berlin,TA Engineer,8.0,Middle,46000.0,English,100-1000,Product
280,2018,30.0,M,Berlin,CTO,9.0,Senior,90000.0,English,up to 10,Agency
281,2018,33.0,M,München,Senior software engineer ,11.0,Senior,92000.0,English,50-100,
282,2018,33.0,M,Berlin,Java script,16.0,Senior,95000.0,English,10-50,Product
283,2018,38.0,M,München,Frontend,5.0,Senior,70000.0,English,10-50,Startup
284,2018,30.0,M,,Software Architect,11.0,Senior,115000.0,English,1000+,
285,2018,28.0,M,Berlin,Lead DevOps,7.0,Senior,70000.0,English,100-1000,Startup
286,2018,37.0,M,Brno,DevOps,17.0,Middle,35000.0,English,100-1000,Product
287,2018,26.0,M,Berlin,QA Lead,7.0,Senior,60000.0,English,100-1000,Product
288,2018,31.0,M,München,Hardware Engineer ,9.0,Senior,90000.0,English,1000+,Product
289,2018,31.0,M,München,Hardware Engineer ,9.0,Senior,90000.0,English,1000+,Product
290,2018,37.0,M,Berlin,Senior Backend Developer,17.0,Senior,80000.0,English,50-100,Startup
291,2018,32.11503067484663,M,München,Data Scientist,5.0,Middle,90000.0,English,1000+,Product
292,2018,33.0,M,München,System Administrator,13.0,Senior,72000.0,Russian,10-50,Startup
293,2018,38.0,M,Berlin,Fullstack,5.0,Senior,55000.0,Deutsch,100-1000,Agency
294,2018,30.0,M,Berlin,Python Developer,2.5,Middle,52000.0,English,50-100,Product and Projects
295,2018,37.0,M,Dresden,Developer,10.0,Senior,53000.0,Deutsch,100-1000,Product
296,2018,30.0,M,Berlin,Javascript Developer in Test,8.0,Senior,72000.0,English,1000+,Product
297,2018,31.0,M,,Software Architect,12.0,Senior,80000.0,English,1000+,
299,2018,27.0,M,Berlin,Scala developer,5.0,Middle,63000.0,English,1000+,E-Commerce
300,2018,30.0,M,Berlin,Front-end developer ,8.504895104895105,Senior,73300.0,English,1000+,Product
301,2018,32.11503067484663,M,München,DevOps Architect ,10.0,Senior,115000.0,English,1000+,Development
302,2018,34.0,M,Berlin,QA Engineer,12.0,Senior,73500.0,English,100-1000,Product
303,2018,31.0,M,Berlin,Software Developer,10.0,Senior,83000.0,English,1000+,Product
304,2018,33.0,M,Krakow,DevOps Engineer,7.0,Senior,42000.0,English,100-1000,Outsource
305,2018,39.0,F,München,BI Developer,5.0,Middle,56000.0,English,1000+,Product
